18/05/2025;0000005240;2.00;1,40
06/04/2025;0000004787;1.00;0,73
07/03/2025;0000004672;2.00;3,28
09/01/2025;0000005864;2.00;3,04
05/04/2025;0000012473;1.00;2,15
07/09/2025;0000005902;10.00;6,00
29/08/2025;0000004915;3.00;1,65
23/04/2025;0000007284;2.00;1,98
12/04/2025;0000006059;1.00;0,37
11/02/2025;0000006737;10.00;8,95
06/01/2025;0000009101;13.00;4,94
28/02/2025;0000004672;2.00;3,28
23/03/2025;0000009396;1.00;2,64
23/08/2025;0000006580;0.50;0,65
13/02/2025;0000004784;4.00;2,64
09/01/2025;0000005235;1.00;1,69
08/02/2025;0000014308;2.00;4,40
27/06/2025;0000006718;3.00;2,97
27/07/2025;0000014429;1.00;0,80
07/01/2025;0000008649;5.00;2,15
16/04/2025;0000008313;3.00;2,34
05/03/2025;0000006531;8.00;5,84
18/03/2025;0000012116;17.00;13,60
29/01/2025;0000014791;7.00;5,39
22/03/2025;0000012421;1.00;2,05
11/03/2025;0000004814;26.00;8,50
17/04/2025;0000015496;1.00;0,90
03/03/2025;0000014226;1.00;3,30
17/02/2025;0000015033;2.00;1,10
23/02/2025;0000006480;4.00;4,00
27/01/2025;0000014368;7.00;9,33
26/01/2025;0000015414;29.00;46,40
16/02/2025;0000013644;12.00;5,23
28/04/2025;0000015491;2.00;1,84
03/02/2025;0000013568;4.00;5,00
10/02/2025;0000015308;3.00;1,50
26/01/2025;0000012059;19.00;19,00
07/04/2025;0000014826;3.00;2,28
10/04/2025;0000015432;1.00;0,50
21/01/2025;0000015387;5.00;14,50
28/06/2025;0000012116;6.00;5,40
08/04/2025;0000013922;1.00;0,30
01/06/2025;0000008605;5.00;3,75
06/05/2025;0000005395;2.00;1,70
05/05/2025;0000005268;13.00;3,90
26/08/2025;0000005297;1.00;0,90
28/06/2025;0000015603;13.00;10,66
06/03/2025;0000005626;14.00;11,06
12/07/2025;0000005681;1.00;1,56
03/02/2025;0000015397;1.00;0,90
31/03/2025;0000006530;3.00;2,19
04/09/2025;0000012374;5.00;3,84
23/04/2025;0000015455;3.00;1,35
25/01/2025;0000015214;2.00;1,58
09/04/2025;0000005535;3.00;2,10
01/02/2025;0000005683;4.00;7,80
06/06/2025;0000006529;3.00;1,50
09/08/2025;0000015673;1.00;0,20
02/06/2025;0000004817;4.00;3,60
06/01/2025;0000013057;2.00;1,84
25/06/2025;0000013737;0.50;0,70
03/03/2025;0000006425;3.00;0,84
04/06/2025;0000006936;1.00;1,05
22/02/2025;0000008641;1.00;0,50
05/05/2025;0000014218;1.00;0,85
26/05/2025;0000004817;3.00;2,70
07/04/2025;0000007124;2.00;2,10
27/05/2025;0000013561;1.00;0,94
27/07/2025;0000010464;1.00;0,99
25/03/2025;0000006312;4.00;6,40
03/04/2025;0000012812;1.00;1,00
21/04/2025;0000013837;1.00;1,69
18/02/2025;0000015082;5.00;3,58
12/03/2025;0000006528;4.00;2,20
01/03/2025;0000005314;2.00;5,98
30/01/2025;0000010519;2.00;2,06
03/02/2025;0000009170;1.00;1,13
08/07/2025;0000005557;14.00;3,35
06/02/2025;0000009833;1.00;1,10
21/03/2025;0000014153;10.00;16,50
08/05/2025;0000006800;1.00;0,28
08/02/2025;0000010862;20.00;18,70
12/08/2025;0000013633;1.00;1,30
15/08/2025;0000004596;3.00;1,95
15/02/2025;0000005076;218.44;90,41
04/03/2025;0000015195;1.00;0,85
16/01/2025;0000004618;1.00;1,05
30/07/2025;0000011819;1.00;0,70
18/01/2025;0000004744;2.00;32,00
30/03/2025;0000006062;1.00;1,05
10/04/2025;0000015078;1.00;2,25
02/02/2025;0000009829;10.00;15,00
26/03/2025;0000005321;1.00;1,62
02/09/2025;0000014756;1.00;0,65
02/01/2025;0000007741;3.00;2,70
05/02/2025;0000010730;15.00;3,97
20/02/2025;0000006466;29.00;12,70
23/06/2025;0000010978;1.00;0,90
24/03/2025;0000006718;3.00;2,85
19/04/2025;0000005648;1.00;0,71
06/05/2025;0000005574;1.00;1,80
27/01/2025;0000014117;1.00;2,55
20/06/2025;0000013709;1.00;0,35
13/04/2025;0000015467;5.00;8,25
10/08/2025;0000005248;56.66;25,50
21/01/2025;0000005394;3.00;4,35
03/03/2025;0000008311;3.00;1,50
25/03/2025;0000015557;1.00;7,27
04/03/2025;0000012377;1.00;0,78
04/05/2025;0000005731;1.00;1,05
23/06/2025;0000012417;2.00;2,60
20/07/2025;0000004718;10.00;4,00
17/05/2025;0000007567;6.00;5,70
25/03/2025;0000005068;8.00;19,20
