0000012639;008302;CHORIZO PAISA DEDITOS 300GR EMP VC (10 U);9.00;1.00
0000011350;006999;VIVE 100% GUARANA 365ML;0.00;1.00
0000011574;007222;EMPANADAS DE NICO 1000GR;0.00;1.00
0000011439;007088;KATABOOM UVA 60U;0.00;60.00
0000011456;007109;PAST FORTIDENT CUATRIACCION 54X70ML;0.00;54.00
0000011357;007006;PROMO[ALIÑO SUPER320+REAL140+CYAMB200GR];0.00;1.00
0000011376;007025;COBERTURA CHOCOLATE NEGRO AMYEL 1000GR;0.00;1.00
0000012713;008376;PRESTOBARBA ULTRAGRIP MUJER;0.00;12.00
0000012714;008377;QUESO DE MESA DON BENITO;0.00;1.00
0000011401;007050;PLATO # 9  LLANO PLASTI UTIL X 25"S;0.00;40.00
0000011404;007053;ALCOGF PLUS BABY 250ML;0.00;1.00
0000011831;007486;SALSA DE TOMATE ILE 200GR;0.00;40.00
0000014101;009779;CHOCOLATE COSTA MECANO MANJAR 8X32X19GR;0.00;256.00
0000011812;007467;DET. CICLON XTRA POWER FRUTAL 340GR;0.00;30.00
0000011817;007472;CREMA LAVATODO BRILLEX LIMON 1000GR;0.00;12.00
0000011942;007598;MERMELADA DE FLOR DE JAMAICA VASO VIDRIO;0.00;1.00
0000011944;007600;MAMELOS CRISMELOS BLANCO 355GR;0.00;20.00
0000011947;007603;MELOSITAS FRUTITAS SABOR A MORA 250GR;0.00;24.00
0000011861;007514;PH. INSTITUCIONAL AMIGO 200M;0.00;4.00
0000011866;007519;LECHE VITA LECHE  SEMIDESCREMADA TETRAFINO 900ML;0.00;12.00
0000011883;007536;BODY SPRAY 75 ML. ANGIE;0.00;1.00
0000011916;007574;ACEITE CRIOLLO 850ML;0.00;15.00
0000007533;003039;DEJA BARRA ESTRELLA LIMON 350G;0.00;30.00
0000006938;002441;AMB. AERO SAPOLIO JARDIN DE ROSAS 360ML;0.00;12.00
0000007492;002998;CAR. TOFFEES SURTIDOS 160GR;4.00;30.00
