0000007042;Cja.                                              ;12.000
0000007012;Cja.                                              ;12.000
0000007013;Und.                                              ;1.000
0000007013;Neg.                                              ;3.000
0000007013;Cja.                                              ;12.000
0000007025;Und.                                              ;1.000
0000005475;Und.                                              ;1.000
0000005475;Dis.                                              ;48.000
0000005475;Cja.                                              ;1296.000
0000006347;Und.                                              ;1.000
0000008591;Und                                               ;1.000
0000005530;Und.                                              ;1.000
0000006180;Neg.                                              ;3.000
0000008678;Caj.                                              ;36.000
0000008678;Und                                               ;1.000
0000005545;Und.                                              ;1.000
0000005547;Und.                                              ;1.000
0000005548;Und.                                              ;1.000
0000005596;Und.                                              ;1.000
0000005554;Und.                                              ;1.000
0000005596;Neg.                                              ;3.000
0000005556;Und.                                              ;1.000
0000005565;Und.                                              ;1.000
0000005566;Und.                                              ;1.000
0000005553;Und.                                              ;1.000
0000006442;Und.                                              ;1.000
0000005581;Und.                                              ;1.000
0000005584;½cja                                              ;6.000
0000005585;Und.                                              ;1.000
0000005585;Neg.                                              ;3.000
0000005585;½cja                                              ;6.000
0000005585;Cja.                                              ;12.000
0000005830;Neg.                                              ;3.000
0000008705;Und                                               ;1.000
0000005017;Und                                               ;1.000
0000008707;Und                                               ;1.000
0000008708;Und                                               ;1.000
0000005094;Und                                               ;1.000
0000005049;Und.                                              ;1.000
0000006541;Neg.                                              ;3.000
0000006981;Und.                                              ;1.000
0000009045;Und                                               ;1.000
0000005605;Und.                                              ;1.000
0000006588;Cja.                                              ;24.000
0000006981;Neg.                                              ;3.000
0000006070;Und.                                              ;1.000
0000006601;Und.                                              ;1.000
0000005576;Neg.                                              ;3.000
0000008578;Bul.                                              ;50.000
0000008662;Und                                               ;1.000
0000005262;Und.                                              ;1.000
0000010001;Und                                               ;1.000
0000005493;Und.                                              ;1.000
0000006440;Und.                                              ;1.000
0000006440;Neg.                                              ;3.000
0000006440;Cja.                                              ;12.000
0000006306;Cja.                                              ;12.000
0000006601;Neg.                                              ;3.000
0000005493;Neg.                                              ;3.000
0000005493;Cja.                                              ;50.000
0000007276;Und.                                              ;1.000
0000005485;Cja.                                              ;6.000
0000008307;Und                                               ;1.000
0000007258;Und.                                              ;1.000
0000005777;Und.                                              ;1.000
0000007592;Und.                                              ;1.000
0000006310;Und.                                              ;1.000
0000005666;Und.                                              ;1.000
0000005666;Neg.                                              ;3.000
0000005667;Und.                                              ;1.000
0000005667;Neg.                                              ;3.000
0000008726;Und                                               ;1.000
0000005047;Und                                               ;1.000
0000007176;Und.                                              ;1.000
0000008268;Bul.                                              ;12.000
0000005663;Und.                                              ;1.000
0000005663;Paq.                                              ;6.000
0000007943;Und.                                              ;1.000
0000007025;Neg.                                              ;3.000
0000007026;Und.                                              ;1.000
0000008693;Neg                                               ;3.000
0000007259;Und.                                              ;1.000
0000007260;Und.                                              ;1.000
0000009397;Und                                               ;1.000
0000007026;Neg.                                              ;3.000
0000007026;Cja.                                              ;24.000
0000005687;Und.                                              ;1.000
0000007260;Neg.                                              ;3.000
0000005701;Neg.                                              ;3.000
0000005935;Und.                                              ;1.000
0000005701;Und.                                              ;1.000
0000005704;Und.                                              ;1.000
0000005704;Neg.                                              ;3.000
0000005994;Paq.                                              ;3.000
0000005710;Und.                                              ;1.000
0000005710;Neg.                                              ;3.000
0000005711;Und.                                              ;1.000
0000006982;Und.                                              ;1.000
0000006070;Tir.                                              ;12.000
0000005715;Und.                                              ;1.000
0000005715;Neg.                                              ;3.000
0000007964;Und.                                              ;1.000
0000004973;Und                                               ;1.000
0000004973;Neg.                                              ;3.000
0000007482;Und.                                              ;1.000
0000006937;Und.                                              ;1.000
0000008900;Und                                               ;1.000
0000005183;Und.                                              ;1.000
0000006937;Neg.                                              ;3.000
0000005819;Und.                                              ;1.000
0000005819;Neg.                                              ;3.000
0000005821;Und.                                              ;1.000
0000005821;Neg.                                              ;3.000
0000005718;Und.                                              ;1.000
0000005719;Und.                                              ;1.000
0000005719;Neg.                                              ;3.000
0000005722;Und.                                              ;1.000
0000005722;Neg.                                              ;3.000
0000005728;Und.                                              ;1.000
0000005728;Neg.                                              ;3.000
0000005729;Und.                                              ;1.000
0000005729;Neg.                                              ;3.000
0000005730;Und.                                              ;1.000
0000005730;Neg.                                              ;3.000
0000005732;Und.                                              ;1.000
0000005732;Neg.                                              ;3.000
0000005736;Und.                                              ;1.000
0000005736;Tir.                                              ;12.000
0000005737;Und.                                              ;1.000
0000005737;Tir.                                              ;12.000
0000005742;Und.                                              ;1.000
0000005742;Tir.                                              ;10.000
0000004930;Und.                                              ;1.000
0000005750;Und.                                              ;1.000
0000005751;Und.                                              ;1.000
0000005751;Neg.                                              ;3.000
0000005753;Und.                                              ;1.000
0000005753;Neg.                                              ;3.000
0000005886;Und.                                              ;1.000
0000005886;Neg.                                              ;3.000
0000005887;Und.                                              ;1.000
0000008685;Und                                               ;1.000
0000005836;Und.                                              ;1.000
0000005836;Neg.                                              ;3.000
0000009795;Und                                               ;1.000
0000008725;Und                                               ;1.000
0000008726;Caj.                                              ;12.000
0000009432;Neg                                               ;3.000
0000005857;Und.                                              ;1.000
0000005989;Und.                                              ;1.000
0000007189;Und.                                              ;1.000
0000007189;Neg.                                              ;3.000
0000007855;Und.                                              ;1.000
0000005941;Neg                                               ;3.000
0000007649;Und.                                              ;1.000
0000007496;Und.                                              ;1.000
0000008001;Und.                                              ;1.000
0000006534;Und.                                              ;1.000
